Station,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Year
Dimla-41851 ,2,73,38,250,317,717,274,214,299,176,0,0,196.67
Rajarhat-41856 ,8,78,0,472,530,739,170,453,129,127,0,0,225.5
Khulna-41947 ,8,75,0,13,185,110,82,184,344,293,0,0,107.83
Mongla-41958 ,7,29,0,2,111,224,143,292,284,434,0,0,127.17
Satkhira-41946 ,11,67,0,5,180,88,194,195,301,123,0,,105.82
Jashore-41936 ,7,38,0,26,211,64,77,213,163,110,0,0,75.75
Chuadanga-41926 ,17,76,0,15,183,132,134,178,420,65,0,0,101.67
Kumarkhali-41927 ,17,38,0,29,241,166,90,169,235,128,0,1,92.83
Barishal-41950 ,4,37,0,12,203,317,168,331,276,474,0,1,151.92
Patuakhali-41960 ,6,19,0,14,211,241,274,326,297,380,0,0,147.33
Khepupara-41984 ,4,36,0,5,363,195,169,502,522,496,0,0,191
Bhola-41951 ,7,23,0,45,206,321,121,289,251,414,0,3,140
Dhaka,0,2,74,30,145,363,244,474,413,326,32,57,180
Tangail,0,0,108,31,204,224,442,471,166,272,3,45,163.83
Mymensingh,0,11,102,16,244,261,348,394,197,478,3,27,173.42
Faridpur,0,0,33,118,136,122,185,293,190,286,5,73,120.08
Madaripur,0,0,117,122,163,255,178,473,252,125,106,38,152.42
Srimongal,0,1,114,98,187,641,309,389,233,154,111,39,189.67
Sylhet,0,7,203,285,329,1267,1062,926,453,691,72,42,444.75
Bogra,0,0,99,16,193,107,170,621,177,259,0,29,139.25
Dinajpur,0,0,80,41,74,199,356,458,533,213,0,15,164.08
Ishurdi,0,0,40,48,132,165,236,274,271,153,1,38,113.17
rajshahi,0,0,25,48,103,85,137,179,267,275,3,38,96.67
rangpur,0,0,51,45,198,423,196,495,388,164,4,13,164.75
Sayedpur,0,0,101,45,108,239,320,436,634,210,0,6,174.92
Chuadanga,0,0,14,41,103,134,124,210,185,195,2,58,88.83
Jessore,0,1,58,62,220,162,85,309,171,200,15,104,115.58
Khulna,0,0,94,34,157,228,151,294,266,165,46,23,121.5
Mongla,0,0,60,84,146,349,411,485,285,265,92,1,181.5
Satkhira,0,2,76,68,173,277,173,427,95,176,2,21,124.17
Barisal,0,0,41,17,170,199,192,620,332,303,225,4,175.25
Bhola,0,0,73,40,202,299,181,647,311,249,252,7,188.42
Khapupara,0,0,62,66,99,361,304,1305,544,332,166,0,269.92
Patuakhali,0,0,95,14,130,254,270,630,421,357,211,8,199.17
Chandpur,0,0,175,102,243,167,198,596,179,188,245,33,177.17
chi(Ambagan) ,0,1,42,57,210,362,133,1120,191,124,83,8,194.25
Chi(Patanga) ,1,0,29,89,162,466,95,1110,283,194,84,9,210.17
Comilla,0,0,96,33,114,514,226,542,303,130,122,33,176.08
Cox`s Bazar,0,0,30,53,154,335,251,872,278,317,95,5,199.17
Feni,0,0,148,40,148,434,202,743,255,173,126,26,191.25
Hatia,0,0,65,54,239,564,490,846,495,307,133,5,266.5
Kutubdia,0,0,2,57,166,289,169,850,485,261,107,0,198.83
Maijdi Court ,0,0,93,19,186,403,177,593,436,174,124,22,185.58
rangamati,0,0,47,66,84,411,197,1104,361,57,72,11,200.83
Sandwip,0,0,71,14,205,475,177,1045,558,259,102,21,243.92
Sitakunda,0,0,132,85,139,473,192,1249,322,100,12,0,225.33
Teknaf,0,0,12,11,92,381,375,0,0,0,0,0,72.58
Gopalgonj,0,0,89,37,138,288,194,348,191,80,64,48,123.08
Tarash,0,0,96,14,227,202,267,378,140,186,1,33,128.67
Natrakona,0,19,134,56,274,451,600,504,411,564,9,25,253.92
rajarhat,0,0,70,31,221,521,241,566,253,170,5,8,173.83
Badalgachhi,0,0,81,31,114,93,237,422,261,142,0,20,116.75
Dimla,0,0,50,35,209,500,468,504,614,173,0,4,213.08
Kumarkhali,0,0,42,83,167,74,205,411,118,211,1,44,113
Tatulia,0,0,40,53,124,956,835,616,352,130,0,1,258.92
Nikli,0,13,195,25,122,488,293,180,325,673,54,38,200.5
Narayangonj,0,0,42,45,63,363,214,441,204,182,60,66,140
Manikgonj,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagabari,0,0,70,36,143,123,134,349,142,202,7,40,103.83
Koyra,0,133,203,447,397,365,188,56,0,14,33,26,155.17
